countries_and_territories,max_confirmed_cases,max_percent_pop_sick,Total_cases,Total_deaths,deaths_to_confirmed_ratio
Northern_Mariana_Islands,113,0.19750755947074966,13426,508,3.7837032623268283
Curaçao,3624,2.217558116054656,115677,394,0.34060357720203671
Cayman_Islands,298,0.4588286013426125,47750,297,0.62198952879581149
Monaco,668,2.0190418618709383,49770,275,0.552541691782198
Fiji,46,0.0051688006696967827,6813,244,3.5813885219433432
Burundi,729,0.0063223202099946954,85281,244,0.2861129677184836
British_Virgin_Islands,76,0.25305497286318385,8663,239,2.758859517488168
Montserrat,13,0.26046884391905428,3111,233,7.4895531983285117
"Bonaire, Saint Eustatius and Saba",173,0.665819959204095,13925,216,1.5511669658886893
Western_Sahara,766,0.131511628306247,125962,199,0.15798415395119164
Gibraltar,1075,3.1893431436539492,94043,126,0.13398126388992271
Saint_Lucia,275,0.15044175168905058,13895,77,0.55415617128463479
Cases_on_an_international_conveyance_Japan,705,,11737,51,0.434523302377098
Cambodia,359,0.0021775336513866887,56878,0,0.0
Laos,41,0.00057187044595852178,5708,0,0.0
Bhutan,438,0.05739790903872917,44074,0,0.0
Eritrea,711,0.020331032676344542,69791,0,0.0
Grenada,69,0.061606042749236624,6450,0,0.0
Vanuatu,1,0.00033346449603510715,34,0,0.0
Anguilla,10,0.067240451855836464,864,0,0.0
Dominica,87,0.12115641711229948,7458,0,0.0
Holy_See,26,3.1901840490797548,3871,0,0.0
Mongolia,912,0.028277614237530717,73560,0,0.0
Greenland,19,0.033533356865513592,3661,0,0.0
Seychelles,187,0.19132196314750208,23946,0,0.0
Timor_Leste,31,0.002397302647859441,6382,0,0.0
Faroe_Islands,528,1.0847011935821846,84880,0,0.0
New_Caledonia,36,0.012731780291911427,6216,0,0.0
Solomon_Islands,17,0.0025379914932496892,749,0,0.0
Marshall_Islands,4,0.006803762480651801,128,0,0.0
Wallis_and_Futuna,3,,103,0,0.0
Saint_Kitts_and_Nevis,27,0.051103456107809364,4404,0,0.0
Falkland_Islands_(Malvinas),19,0.56346381969157766,3313,0,0.0
Saint_Vincent_and_the_Grenadines,98,0.088613203367301732,12317,0,0.0
