countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019,death_percentage,percent_pop_sick
Poland,2020-04-14,260,13,6934,245,37972812,3.5333141044130372,0.018260433280527129
Poland,2020-04-20,545,13,9287,360,37972812,3.8763863465058681,0.024456972004074918
Poland,2020-05-03,270,13,13375,664,37972812,4.9644859813084112,0.035222569242435879
Poland,2020-05-30,330,13,23155,1051,37972812,4.5389764629669624,0.060977838565129179
Poland,2020-08-08,809,13,50324,1787,37972812,3.5509895874731736,0.13252639809767053
Poland,2020-08-09,843,13,51167,1800,37972812,3.5178923915805105,0.13474640750861433
Poland,2020-08-22,903,13,60281,1938,37972812,3.214943348650487,0.1587477903927684
Poland,2020-08-23,900,13,61181,1951,37972812,3.188898514244618,0.16111790720160518
Poland,2020-09-06,567,13,70387,2113,37972812,3.0019747964823051,0.18536156869288478
Poland,2020-09-13,603,13,73650,2182,37972812,2.9626612355736595,0.19395455885647866
